name,description,dataset_id,project_id,files
Subnational Poverty and Inequality Database (SPID),"This data entry includes subnational poverty direct estimates from household surveys over time for more than 141 economies at the administrative unit level 1. Administrative unit level 1 refers to the highest subnational unit level (examples include ‘state’, ‘governorate’, ‘province’) from household surveys.<br>In 2013, the World Bank announced the goals of fighting poverty in all its forms by 2030 and promoting shared prosperity. Despite a remarkable progress made on reducing poverty in recent years, reaching the targets remains challenging. The decline in poverty has been uneven. The poverty reduction in recent years was dominated by the East Asia and Pacific (notably China and Indonesia) and South Asia (notably India) (World Bank, 2017). Despite the progress made so far, the number of extreme poor remains high, especially in Sub-Saharan Africa. In many countries, vast differences in poverty levels persist at the subnational level. In addition, global problems such as climate change, fragility, economic crises and food security pose great risks for poverty reduction, and they are often trans-border issues, which generate strong positive or negative externalities across neighboring countries.",64796,,"[""'name': 'Global Subnational Poverty Shapefile (version 1)'"", ""'description': '<p>This shapefile (version 1) is used to link with the data based on the ID geo_code2.</p>', 'url': null"", ""'name': 'Subnational Poverty and Inequality Database (Multidimensional poverty part)'"", ""'description': '<p>This is the Subnational Poverty and Inequality Database (SPID) on Multidimensional poverty indicators.</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064796/DR0092190/subnational-poverty-inequality-spid-MPM.xlsx?versionId=2023-09-11T14:24:14.9050463Z'"", ""'name': 'Subnational Poverty and Inequality Database (Poverty and Inequality part)'"", ""'description': '<p>This is the Subnational Poverty and Inequality Database"", ""SPID. The data file is for the poverty and inequality indicators.</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064796/DR0092191/subnational-poverty-inequality-spid-poverty.xlsx?versionId=2023-09-11T14:24:15.5456758Z'"", ""'name': 'On the Construction of the World Bank\\u2019s Subnational Poverty and Inequality Databases (Documentation)'"", ""'description': '<p>In many countries"", 'large differences in poverty persist at the subnational level. In addition', 'global challenges such as climate change', 'fragility', 'economic crises', 'and food insecurity are often trans-border issues that pose significant risks for poverty reduction both across and within countries. Traditional poverty measures are generally presented at the national level', 'potentially obscuring local and regional variations of poverty and inequality. To overcome these challenges', ""this note describes the construction of two databases designed to provide a more granular perspective on poverty. The Subnational Poverty and Inequality Database (SPID) presents direct survey estimates of poverty and inequality from nationally representative household surveys over time. The Global Subnational Atlas of Poverty (GSAP) presents poverty estimates of survey-representative administrative areas projected to a common year. Both databases use the same underlying household survey data used by the World Bank to monitor global poverty.</p>', 'url': null"", ""'name': 'Global Subnational Poverty Shapefile (version 2)'"", ""'description': '<p>This shapefile (version 2) is used to link with the data based on the ID geo_code2_new.</p>', 'url': null""]"
Harmonized Sub-National Food Security Data,"FEWS NET produces food security classifications at the sub-national level, specifically at the intersection of livelihood zones and administrative uni<span style=""color: black;"">ts. FEWS NET data is compatible with the Integrated Food Security Phase Classification protocol, but the data is produced independently from the IPC multi-partner consensus group.</span><span style=""color: black;"">Because of the spatial mismatch between shapefiles across different timesteps in the FEWS NET data, the World Bank's Data Group developed a process to merge food security data into consistent spatial units sourced from FEWS NET. </span>A spatial join was conducted to assign the mode (or majority) food security phase value to each administrative unit. <span style=""color: black;"">This dataset contains IPC-compatible phases (current situation and projections) and population estimates, by sub-national area determined by FEWS NET.</span>The dataset covers all countries monitored by FEWS NET (roughly 20 countries), with assessments available since 2009 on a tri-annual basis. The DECSC unit provides support to update this dataset as soon as the source shapefiles are readily available. The dataset is available to the public and the original inputs are also publicly available through FEWS NET and the Gridded Population of the World (v4).",64614,,"[""'name': 'FEWS NET Admin Boundaries'"", ""'description': '<p class=\\'ql-align-justify\\'>Data from the FEWS NET Food Security Outlook reports is made available in geographic format on a country-by-country basis. Using these country files"", ""we assembled a global database of boundaries that represent the unit of analysis at which FEWS NET reports measures of food insecurity.</p><p class=\\'ql-align-justify\\'>FEWS NET produces food security classifications at the sub-national level"", ""specifically at the intersection of livelihood zones and administrative units.</p><p class=\\'ql-align-justify\\'>The tabular data can be joined to this shapefile using the <strong>admin_code </strong>unique identifier.</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064614/DR0091744/FEWS%20NET%20Admin%20Boundaries.zip?versionId=2024-01-16T21:59:57.7624374Z'"", ""'name': 'FEWS NET Food Security Tabular Dataset'"", ""'description': '<p>Tabular dataset with historical and current food security classification estimates sourced from FEWS NET. This dataset contains IPC-compatible values (current situation and projections) and population estimates"", ""by sub-national area. FEWS NET produces food security classifications at the intersection of livelihood zones and administrative units.</p><p>For more details on how the boundaries were assembled see the FEWS NET Admin Boundaries resource entry on this dataset.</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064614/DR0091743/FEWS%20October%202023%20Update%20TrueBoundaries_01-16-24.csv?versionId=2024-01-16T21:59:59.9611814Z'"", ""'name': 'Additional Metadata for Tabular Dataset'"", ""'description': '<p>Column descriptions for FEWS NET Food Security Tabular Dataset.</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064614/DR0091811/Column%20Descriptions.xlsx?versionId=2024-01-16T22:00:08.0995371Z'""]"
Central Asia Flood vulnerability curves - crops,"Central Asia Flood vulnerability curves - crops. Developed as part of the Strengthening Financial Resilience and Accelerating Risk Reduction in Central Asia program. (<a href=""https://www.gfdrr.org/en/program/SFRARR-Central-Asia"" rel=""noopener noreferrer"" target=""_blank"">https://www.gfdrr.org/en/program/SFRARR-Central-Asia</a>)",64241,P168309,"[""'name': 'Crop vulnerability curves'"", ""'description': 'all curves provided here are vulnerability curves (not fragility curves)', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064241/DR0091005/crops_vulnerability_curves.csv?versionId=2023-07-21T17:17:07.8029312Z'""]"
Central Asia Flood Vulnerability,"Data from the EU-funded 'Strengthening Financial Resilience and Accelerating Risk Reduction in Central Asia' Program. (<a href=""https://www.gfdrr.org/en/program/SFRARR-Central-Asia"" rel=""noopener noreferrer"" target=""_blank"">https://www.gfdrr.org/en/program/SFRARR-Central-Asia</a>).Flood vulnerability curves for buildings, infrastructure, crops, and population. The analytical approach is described in the accompanying technical report.<br>Данные разработаны в рамках Программы Укрепления Финансовой Устойчивости и Ускорения Снижения Риска Бедствий в Центральной Азии, финансируемой Европейским союзом.&nbsp;&nbsp;(<a href=""https://www.gfdrr.org/en/program/UFUUSR-tsentralnoy-azii"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(255, 255, 255); color: rgb(0, 113, 188);"">https://www.gfdrr.org/en/program/UFUUSR-tsentralnoy-azii</a>).Кривые уязвимости от наводнений для зданий, инфраструктуры, сельскохозяйственных культур и населения. Аналитический подход описан в прилагаемом техническом отчете.",64115,P168309,"[""'name': 'Central Asia Flood vulnerability curves - buildings'"", ""'description': null, 'url': null"", ""'name': 'Central Asia Flood vulnerability curves - infrastructure'"", ""'description': null, 'url': null"", ""'name': 'Central Asia Flood vulnerability technical report - English version'"", ""'description': null, 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064115/DR0090975/Task5b_FL_Vulnerability_Report_r6_EN.pdf?versionId=2023-07-21T17:33:11.5312644Z'"", ""'name': 'Central Asia Flood vulnerability technical report - Russian version'"", ""'description': '<p>\\u0422\\u0435\\u0445\\u043d\\u0438\\u0447\\u0435\\u0441\\u043a\\u0438\\u0439 \\u043e\\u0442\\u0447\\u0435\\u0442 \\u043f\\u043e \\u0443\\u044f\\u0437\\u0432\\u0438\\u043c\\u043e\\u0441\\u0442\\u0438 \\u043a \\u043d\\u0430\\u0432\\u043e\\u0434\\u043d\\u0435\\u043d\\u0438\\u044f\\u043c \\u0432 \\u0426\\u0435\\u043d\\u0442\\u0440\\u0430\\u043b\\u044c\\u043d\\u043e\\u0439 \\u0410\\u0437\\u0438\\u0438 - \\u0440\\u0443\\u0441\\u0441\\u043a\\u0430\\u044f \\u0432\\u0435\\u0440\\u0441\\u0438\\u044f</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064115/DR0090976/Task5b_FL_Vulnerability_Report_r6_RU.pdf?versionId=2023-07-21T17:33:13.2273042Z'"", ""'name': 'Central Asia Flood vulnerability curves - crops'"", ""'description': null, 'url': null"", ""'name': 'Central Asia Flood vulnerability curves - human'"", ""'description': null, 'url': null""]"
Zambia Malnutrition 2018 - Table Extract,"Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by province 2018 (underweight children under 5 years old). Data collected by the Zambia Statistics Agency in partnership with the Ministry of Health; the University Teaching Hospital Virology Laboratory (UTH-VL); and the Department of Population Studies at the University of Zambia (UNZA) under the overall guidance of the National Steering Committee. Funding provided by USAID, the Global Fund, DFID and UNFPA and technical assistance provided by ICF through the DHS Program. Data published in ""Zambia Demographic and Health Survey 2018.""",64043,,"[""'name': 'Zambia Demographic and Health Survey 2018'"", ""'description': '<p>Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by province 2018 (underweight children under 5 years old). Data collected by the Zambia Statistics Agency in partnership with the Ministry of Health; the University Teaching Hospital Virology Laboratory (UTH-VL); and the Department of Population Studies at the University of Zambia (UNZA) under the overall guidance of the National Steering Committee. Funding provided by USAID"", 'the Global Fund', ""DFID and UNFPA and technical assistance provided by ICF through the DHS Program. Data published in \\'Zambia Demographic and Health Survey 2018.\\'</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064043/DR0090717/Zambia%20Malnutrition%202018.xlsx?versionId=2023-02-28T17:40:48.7566175Z'""]"
Uganda Malnutrition 2016 - Table Extract,"Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by region 2016 (underweight children under 5 years old).&nbsp;Data collected by the Uganda Bureau of Statistics with financial support from USAID, UNICEF and UNFPA and technical assistance from ICF through the DHS Program. Data published in ""Uganda Demographic and Health Survey 2016.""",64040,,"[""'name': 'Uganda Demographic and Health Survey 2016'"", ""'description': '<p>Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by region 2016 (underweight children under 5 years old).&nbsp;Data collected by the Uganda Bureau of Statistics with financial support from USAID"", ""UNICEF and UNFPA and technical assistance from ICF through the DHS Program. Data published in \\'Uganda Demographic and Health Survey 2016.\\'</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064040/DR0090714/Uganda%20Malnutrition%202016.xlsx?versionId=2023-02-28T17:42:16.7172750Z'""]"
Togo Malnutrition 2017 - Table Extract,"Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by region 2017 (underweight children under 5 years old). Data collected by the National Institute of Statistics and Economic and Demographic Studies (INSEED) in collaboration with the Ministry of Health, with financial support from UNICEF and UNFPA  and technical support from UNICEF. Data collected as part of the MICS surveys and published in "" TOGO MICS6 2017 Enquête par grappes à indicateurs multiples.""",64038,,"[""'name': 'TOGO MICS6 2017 Enqu\\u00eate par grappes \\u00e0 indicateurs multiples'"", ""'description': '<p>Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by region 2017 (underweight children under 5 years old). Data collected by the National Institute of Statistics and Economic and Demographic Studies (INSEED) in collaboration with the Ministry of Health"", ""with financial support from UNICEF and UNFPA  and technical support from UNICEF. Data collected as part of the MICS surveys and published in \\'TOGO MICS6 2017 Enqu\\u00eate par grappes \\u00e0 indicateurs multiples.\\'</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064038/DR0090711/Togo%20Malnutrition%202017.xlsx?versionId=2023-02-28T17:43:45.5733877Z'""]"
Timor Leste Malnutrition 2016 - Table Extract,"Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by municipality 2016 (underweight children under 5 years old).&nbsp;Data collected by the General Directorate of Statistics (GDS), Ministry of Planning and Finance in collaboration with the Ministry of Health, with financial support from USAID, UNFPA, UNICEF, WHO, the European Union and the World Bank and technical assistance from IFC through the DHS Program. Data published in ""Timor Leste Demographic and Health Survey 2016.""",64035,,"[""'name': 'Timor Leste Demographic and Health Survey 2016'"", ""'description': '<p>Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by municipality 2016 (underweight children under 5 years old).&nbsp;Data collected by the General Directorate of Statistics (GDS)"", 'Ministry of Planning and Finance in collaboration with the Ministry of Health', 'with financial support from USAID', 'UNFPA', 'UNICEF', 'WHO', ""the European Union and the World Bank and technical assistance from IFC through the DHS Program. Data published in \\'Timor Leste Demographic and Health Survey 2016.\\'</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064035/DR0090708/Timor%20Malnutrition%202016.xlsx?versionId=2023-02-28T17:40:53.1679425Z'""]"
Tanzania Irrigation 2014-2015 - Table Extract,"Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of irrigated land in hectares  by region 2014-2015. Data collected by the National Bureau of Statistics (NBS) in collaboration with the Ministry of Agriculture, Livestock and Fisheries, the Ministry of Industry, Trade and Investment; the President’s Office, the Regional Administration and Local Government (PO/RALG), the Office of the Chief Government Statistician, (OCGS), the Ministry of Agriculture and Natural Resources Zanzibar and the Ministry of Livestock and Fisheries Zanzibar. Data published in ""2014/2015 Annual Agricultural Sample Survey - Report.""",64028,,"[""'name': '2014/2015 Annual Agricultural Sample Survey - Report'"", ""'description': '<p>Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of irrigated land in hectares  by region 2014-2015. Data collected by the National Bureau of Statistics (NBS) in collaboration with the Ministry of Agriculture"", 'Livestock and Fisheries', 'the Ministry of Industry', 'Trade and Investment; the President\\u2019s Office', 'the Regional Administration and Local Government (PO/RALG)', 'the Office of the Chief Government Statistician', '(OCGS)', ""the Ministry of Agriculture and Natural Resources Zanzibar and the Ministry of Livestock and Fisheries Zanzibar. Data published in \\'2014/2015 Annual Agricultural Sample Survey - Report.\\'</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064028/DR0090701/Tanzania%20Irrigation%202014-15.xlsx?versionId=2023-02-28T17:37:07.0870772Z'""]"
Tanzania Malnutrition 2015 - 2016 - Table Extract,"Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by region 2015-2016 (underweight children under 5 years old). Data collected by the National Bureau of Statistics (NBS) and Office of the Chief Government Statistician (OCGS), Zanzibar, in collaboration with the Ministry of Health, Community Development, Gender, Elderly and Children, Mainland, and the Ministry of Health, Zanzibar with financial support from USAID, Global Affairs Canada, Irish Aid, UNICEF and UNFPA and technical assistance from ICF. Data published in ""Tanzania Demographic and Health Survey and Malaria Indicator Survey 2015-2016 Final Report.""&nbsp;",64027,,"[""'name': 'Tanzania Demographic and Health Survey and Malaria Indicator Survey 2015-2016 Final Report'"", ""'description': '<p>Gathered for the GAFSP Open Data Services activity. This file contains summary statistics of malnutrition by region 2015-2016 (underweight children under 5 years old). Data collected by the National Bureau of Statistics (NBS) and Office of the Chief Government Statistician (OCGS)"", 'Zanzibar', 'in collaboration with the Ministry of Health', 'Community Development', 'Gender', 'Elderly and Children', 'Mainland', 'and the Ministry of Health', 'Zanzibar with financial support from USAID', 'Global Affairs Canada', 'Irish Aid', ""UNICEF and UNFPA and technical assistance from ICF. Data published in \\'Tanzania Demographic and Health Survey and Malaria Indicator Survey 2015-2016 Final Report.\\'&nbsp;</p>', 'url': 'https://datacatalogfiles.worldbank.org/ddh-published/0064027/DR0090700/Tanzania%20Malnutrition%202015-16.xlsx?versionId=2023-02-28T17:43:39.3691505Z'""]"
