id,document,abstract,date,type,authors,sectors,implementer,url
166128,Empowering Women Farmers : Evidence from a RandomizedControl Trial in Mozambique,"These results show how a psychological mindset training targeted to women farmers can lead to greater investment and entrepreneurship, helping their households transition out of subsistence farming and into market-oriented agriculture and off-farm businesses. The results also suggest the promise of psychology to improve the design and effectiveness of standard agricultural extension programs, showing the importance of teaching not only best production technologies and practices, but also developing an entrepreneurial mindset.",16-Nov-21,Working Paper,"['Montalvao Machado', 'Joao H. C.']","['Crops and Crop Management Systems', 'Agricultural Extension', 'Climate Change and Agriculture', 'Private Sector Development Law', 'Marketing', 'Private Sector Economics', 'Labor Markets']",Gender Impact Evaluation (AFEGI),http://documents.worldbank.org/curated/en/655441637126744572/pdf/Empowering-Women-Farmers-Evidence-from-a-Randomized-Control-Trial-in-Mozambique.pdf
WPS9840,Knowledge and Adoption of Complex Agricultural Technologies : Evidence from an Extension Experiment,"In most of Sub-Saharan Africa, agricultural extension models have become more decentralized and participatory and thus, rely on effective farmer-to-farmer learning, while increasingly including non-traditional forms of education. At the same time, agricultural technologies become more complex and are now often promoted as integrated packages, likely to increase the complexity of the diffusion process. Based on a randomized controlled trial, this study assesses the effects of ‘farmer-to-farmer’ extension and a video intervention on adoption of a complex technology package among 2,382 smallholders in Ethiopia. Both extension-only and extension combined with video increase adoption and knowledge of the package, especially of its more complex components; although on average, there is no additional effect of the video intervention on adoption. Knowledge and the number of adopted practices also increase among farmers not actively participating in extension activities, suggesting information diffusion. For this group, the additional video intervention has a reinforcing effect, and particularly fosters adoption of the integrated package.",5-Nov-21,Policy Research Working Paper,"['Hörner', 'Denise', 'Bouguen', 'Adrien', 'Frölich', 'Markus', 'Wollni', 'Meike']","['Nonmetallic Mineral Product Manufacturing', 'Climate Change and Agriculture', 'Crops and Crop Management Systems', 'Agricultural Extension', 'Fertilizers']",Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/362861636121745084/pdf/Knowledge-and-Adoption-of-Complex-Agricultural-Technologies-Evidence-from-an-Extension-Experiment.pdf
WPS9532,The Demand for Advice : Theory and Empirical Evidence from Farmers in Sub-Saharan Africa,"Low levels of investment into modern technologies, and limited use of measures that have low monetary cost but the potential for high yields, are often regarded as obstacles to further agricultural development. This paper investigates farmers’ demand for one such measure, namely agricultural advisory services. These have modest (most frequently zero) monetary user cost but, according to some recent research, have the potential to result in large increases of yields. Yet, demand for these extension services is often low. This study proposes that costly attention may be part of the explanation for this. In the model, advisory services are available free of charge, but positive effects on production are only realized if farmers devote attention to listening to and implementing the provided advice. Modeling farmers as rational decision makers facing scarce attention, the study identifies the circumstances under which farmers may optimally abstain from demanding advisory services. The model complements the insights of other theories commonly used to explain suboptimal farm decisions and outcomes, and generates testable predictions, which are consistent with empirical evidence based on a large farm-level panel dataset from Sub-Saharan Africa.",2-Feb-21,Policy Research Working Paper,"['Naeher', 'Dominik', 'Schundeln', 'Matthias']","['Food Security', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Climate Change and Agriculture', 'Inequality', 'Information Technology', 'Livestock and Animal Husbandry']",Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/885441612294787514/pdf/The-Demand-for-Advice-Theory-and-Empirical-Evidence-from-Farmers-in-Sub-Saharan-Africa.pdf
152979,Empowering Farmers to Adopt Agricultural Recommendations,"A quick glance at agricultural input use data from developing countries reveals a large dispersion in take up of improved inputs and practices across farms. One explanation is that this is a problem resulting from limited information, credit constraints, risk, poor input quality, and/or behavioral biases. An alternative view is that farmers are in fact making optimal adoption decisions, and differences among farmers instead reflect heterogeneity in a fixed factor such as soil quality. The authors test whether rainfed farmers in Tlaxcala, Mexico adopt tailored recommendations based on soil analyses and whether productivity improves as a result. The authors vary the level of information specificity (whether recommendations are based on the farmer's own plot or on a larger geographical area) because individually tailored information may be more effective but is also more expensive. The authors also vary whether farmers can choose what inputs to purchase by offering an inflexible grant that subsidizes only the recommended inputs or a flexible one that gives farmers the choice of which inputs to purchase.",1-Sep-20,Brief,[],"['Financial Sector Policy', 'Agricultural Extension', 'Climate Change and Agriculture', 'Crops and Crop Management Systems', 'Fertilizers', 'Natural Disasters']",DECRG: Finance & Priv Sec Devt (DECFP),http://documents.worldbank.org/curated/en/472061600147878799/pdf/Empowering-Farmers-to-Adopt-Agricultural-Recommendations.pdf
WPS9367,Autonomy and Specificity in Agricultural Technology Adoption : Evidence from Mexico,"This paper explores heterogeneity in soil quality, lack of knowledge, and autonomy as explanations for the low adoption of improved agricultural practices. The paper uses data from a randomized field experiment that combined localized soil analyses, tailored input recommendations, extension services, and an in-kind grant. The analysis finds that while neither the degree of recommendation specificity (plot versus cluster level) nor the extent of autonomy (defined as the freedom of choice in spending the in-kind grant) had any effect on adoption during the intervention, farmers with autonomy had substantially higher adoption of improved practices two years after the intervention ended.",25-Aug-20,Policy Research Working Paper,"['Corral', 'Carolina', 'Gine', 'Xavier', 'Mahajan', 'Aprajit', 'Seira', 'Enrique']","['Fertilizers', 'Climate Change and Agriculture', 'Crops and Crop Management Systems', 'Agricultural Extension', 'Economic Assistance', 'Services & Transfers to Poor', 'Disability', 'Access of Poor to Social Services', 'Nonmetallic Mineral Product Manufacturing']","Off of Sr VP Dev Econ/Chief Econ (DECVP),DECRG: Finance & Priv Sec Devt (DECFP)",http://documents.worldbank.org/curated/en/362001598386078342/pdf/Autonomy-and-Specificity-in-Agricultural-Technology-Adoption-Evidence-from-Mexico.pdf
151858,Monitoring COVID-19 Impacts on Households in Malawi (Vol. 2) : Tabulations from the First Round of the High-Frequency Phone Survey,"In May 2020, the National Statistical Office (NSO), with support from the World Bank, has launched the High-Frequency Phone Survey on COVID-19, which tracks the socio-economic impacts of the pandemic on a monthly basis for a period of 12 months. The survey aimed to recontact the entire sample of households that had been interviewed during the Integrated Household Panel Survey (IHPS) 2019 round and that had a phone number for at least one household member or a reference individual. This report presents the findings from the first round of the survey that was conducted during the period of May 26-June 14, 2020.",1-Jul-20,Brief,"['Vundru', 'Wilbert Drazi', 'Moylan', 'Heather G.']","['Livestock and Animal Husbandry', 'Educational Sciences', 'Transport Services', 'Agricultural Extension', 'Crops and Crop Management Systems', 'Climate Change and Agriculture']","N/A,Data Production and Methods (DECPM)",http://documents.worldbank.org/curated/en/591551597706342578/pdf/Findings-from-the-First-Round-of-the-High-Frequency-Phone-Survey.pdf
150256,Indonesia - Agro-Value Chain Assessment : Background Paper 2 - Issues and Options in Promoting Digital Agriculture,"This background paper aims to provide an assessment of the issues and options in promoting digital agriculture in Indonesia, within the broader technology landscape of the country, with the primary aim of informing the design of the proposed World Bank investment project. The study considers global best practices as well as the status of Indonesia in product traceability, e-commerce, agriculture fintech service providers, weather index insurance providers, and precision farming technology providers. Although digital agriculture is cross-cutting across all commodities, the focus was on the horticulture and small ruminant value chains as those were identified as priority commodity categories by the Ministry of Agriculture. The study also offers high-level recommendations for policymakers on reforms and programs that can accelerate the adoption of digital agriculture. In the first section, the national context and the importance of ICT technology in agriculture are summarized. Section two presents the current landscape of digital agriculture in Indonesia, followed by section three that suggests key areas where ICT can play a role in agriculture, based on global experience. As scaling up the digitization of the agriculture sector involves a complex set of policy, investment, innovation, and capacity-building measures, several high-level recommendations are provided for policymakers and practitioners in the fourth and last section.",23-Jun-20,Report,[],"['Climate Change and Agriculture', 'Global Environment Facility', 'Agricultural Extension', 'Global Environment', 'Hydrology', 'Food Security', 'Crops and Crop Management Systems']","N/A,Agriculture and Food PG EAP",http://documents.worldbank.org/curated/en/442511593422707873/pdf/Indonesia-Agro-Value-Chain-Assessment-Background-Paper-2-Issues-and-Options-in-Promoting-Digital-Agriculture.pdf
147142,Top Policy Lessons in Agriculture,This policy brief summarizes key policy lessons from the Africa Gender Innovation Lab on ways to empower women farmers.,1-Mar-20,Brief,[],"['Gender and Development', 'Agricultural Extension', 'Climate Change and Agriculture', 'Crops and Crop Management Systems', 'Labor Markets', 'Inequality']",Gender Impact Evaluation (AFRGI),http://documents.worldbank.org/curated/en/997271585326867597/pdf/Top-Policy-Lessons-in-Agriculture.pdf
160963,Public Investment Choices by Local and Central Governments,"This paper examines the impacts of devolving authority for public resource allocation to local governments in a setting of limited electoral control. Such a setting differs from that assumed by seminal formal models of devolution, but describes many developing countries. This study presents a formal model of this setting and tests it using unique data from a natural experiment in rural Ethiopia whereby half of the country’s regions were decentralized but not the other half. Employing a spatial regression discontinuity design, this article shows that decentralization strongly improved delivery of agricultural public services, which are of high priority to the central government. In contrast, it did not impact drinking water services, on which the central government places lower priority but citizens place high priority.",1-Feb-20,Journal Article,"['Kosec', 'Katrina L.', 'Mogues', 'Tewodaj']","['Hydrology', 'De Facto Governments', 'Democratic Government', 'Public Sector Administrative and Civil Service Reform', 'Public Sector Administrative & Civil Service Reform', 'Food Security', 'Gender and Development', 'Agricultural Extension', 'Climate Change and Agriculture', 'Crops and Crop Management Systems']","Macro, Trade, and Investment (GMTDR)",http://documents.worldbank.org/curated/en/352381624530717977/pdf/Public-Investment-Choices-by-Local-and-Central-Governments.pdf
144196,Lesotho Climate-Smart Agriculture Investment Plan : Policy Note,"Lesotho's agricultural system faces a growing number of climate-related vulnerabilities with droughts, floods, pests, and extreme temperatures occurring more frequently. In response, the Government of Lesotho is collaborating with the World Bank to integrate climate change into the country's agriculture policy agenda through the Lesotho Climate-Smart Agriculture Investment Plan (CSAIP).",1-Dec-19,Brief,[],"['Climate Change and Agriculture', 'Science of Climate Change', 'Climate Change and Health', 'Climate Change and Environment', 'Natural Disasters', 'Crops and Crop Management Systems', 'Labor Markets', 'Food Security', 'Agricultural Extension']",Agriculture and Food PG AFR3 (SAFA3),http://documents.worldbank.org/curated/en/553821575651607128/pdf/Policy-Note.pdf
