id,use_case,project,description,implementer,region,country,documents,sectors,years,contacts
P180732,Accessible Agricultural Financing,Ukraine Agriculture Recovery Inclusive Support Emergency (ARISE) Project,"This use case example reflects a strategic implementation of accessible financial support mechanisms to bolster agricultural productivity in the face of adversity. In the context of the Ukraine Agriculture Recovery Inclusive Support Emergency (ARISE) Project, financial accessibility was addressed through a two-pronged approach aimed at enhancing the resilience and sustainability of the agricultural sector amidst significant challenges, including conflict and natural or man-made disasters. Firstly, affordable credit was made available to farms, facilitating capital investment and operational continuity. This component targeted the broader agricultural ecosystem, ensuring entities of varying sizes could access the financial resources necessary for recovery and future growth. Secondly, the project instituted a grant system specifically tailored for small farms, recognizing the disproportionate impact of crises on smaller scale operators and the vital role these entities play in local food security and rural economies. Both methods were instrumented through the Business Development Fund and the Ministry of Agrarian Policy and Food, ensuring tailored, effective deployment of resources. This dual approach not only aimed at immediate recovery needs but also at fostering a more resilient agricultural infrastructure capable of withstanding future crises, thereby contributing to the broader objective of maintaining inclusive agricultural production.","Ministry of Agrarian Policy and Food, Business Development Fund",Europe and Central Asia,Ukraine,"[""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099101323081517746/pdf/P1807320b55dce08094c805edd1c25d291.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099101923095537231/pdf/BOSIB0ba93e6360030a1f50cd2b8325e6e5.pdf'"", ""'Loan Agreement': 'http://documents.worldbank.org/curated/en/099110823104018617/pdf/P180732029a3570450a99a0bd5c5b50c75e.pdf'"", ""'Disbursement Letter': 'http://documents.worldbank.org/curated/en/099012224102528602/pdf/P1807321506d0708c1bfaa1a4e9704ee164.pdf'"", ""'Grant or Trust Fund Agreement': 'http://documents.worldbank.org/curated/en/099110823104512771/pdf/P18073205291e4085082aa0f5beef254bd0.pdf'"", ""'Minutes': 'http://documents.worldbank.org/curated/en/099111423164011650/pdf/BOSIB086de382c0e608db20aeb697ce1ee6.pdf'"", ""'Letter': 'http://documents.worldbank.org/curated/en/099121923092528294/pdf/P1807320a5970509a0b66a0d45aa616f92a.pdf'""]","['Agricultural Extension, Research, and Other Support Activities']","['2023', '2024', '2025']","['Sergiy Zorya', 'Johanna Jaeger']"
P179737,Modernizing Irrigation with RDIS,Improvement and Rehabilitation of Irrigation Systems Project,"This use case example revolves around the comprehensive rehabilitation and modernization of the Radoniqi-Dukagjini Irrigation Scheme (RDIS), through a focused investment of EUR 8.35 million aimed at enhancing agricultural productivity and reducing operational inefficiencies. In the context of aims to bolster rural economic development in Kosovo, the initiative sought to improve and modernize irrigation services to diminish water losses and production costs, and foster the introduction of higher value crops within project locales. Specifically, the RDIS operates two distinct irrigation frameworks - the Radoniqi scheme, fed by the Radoniqi dam with its seven irrigation sub-systems, and the Dukagjini scheme, with its six sub-irrigation systems. Through sub-components like rehabilitation work to modernize and upgrade the RDIS and the employment of a Supervisory Control and Data Acquisition (SCADA) system, this method illustrates an innovative approach to enhance water use efficiency and ensure the sustainability of the irrigation infrastructure.","Ministry of Agriculture, Forestry and Rural Development",Europe and Central Asia,Kosovo,"[""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099051723103015585/pdf/P1797370c653fc080be4e0cabce02fcd4a.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099101123074510796/pdf/P17973709ae3a0080875602af28aa4c916.pdf'"", ""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099051723103039754/pdf/P1797371568ccddf1f9f31491019f201d207da279335.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099052623064025693/pdf/P1797370da7c5a0a0be910df3cce257c8c.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099101223183043766/pdf/P17973703f16620f0b0fa04bc87d65dfb8.pdf'"", ""'Disbursement Letter': 'http://documents.worldbank.org/curated/en/099101323082514250/pdf/P179737043644c0de093410f1c6eaa1e716.pdf'"", ""'Grant or Trust Fund Agreement': 'http://documents.worldbank.org/curated/en/099101323082081067/pdf/P1797370c0b9d30d9094640ded1e3040475.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099011624182514585/pdf/P1797371f41dd108b1b0c71c43b4f70f838.pdf'""]","['Public Administration - Agriculture, Fishing & Forestry', 'Irrigation and Drainage']",['2023'],"['Teklu Tesfaye Toli', 'Trandelina Baraku', 'Xueling Li']"
P179737,Capacity Building for Water Efficiency,Improvement and Rehabilitation of Irrigation Systems Project,"This use case showcases a strategic intervention aimed at bolstering water use efficiency and agricultural productivity through capacity building, with a dedicated fund of EUR 0.4 million. In the context of supporting the infrastructure investments made under component 1 of the project, the initiative emphasized enhancing the capabilities of various stakeholders including the Ministry of Agriculture, Forestry, and Rural Development (MAFRD), municipalities, irrigation providers, and farmers. The methods encompassed offering technical assistance for better corporate governance among irrigation providers, introducing farmers to modern on-farm irrigation technologies and beneficial practices, and promoting efficient water management. Additionally, the project facilitated knowledge exchange through study tours and site visits, allowing stakeholders to learn from advanced irrigation practices globally. This holistic approach not only aimed at improving water utilization efficiency but also sought to uplift the overall agricultural output in the project area by equipping stakeholders with the requisite knowledge and tools.","Ministry of Agriculture, Forestry and Rural Development",Europe and Central Asia,Kosovo,"[""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099051723103015585/pdf/P1797370c653fc080be4e0cabce02fcd4a.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099101123074510796/pdf/P17973709ae3a0080875602af28aa4c916.pdf'"", ""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099051723103039754/pdf/P1797371568ccddf1f9f31491019f201d207da279335.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099052623064025693/pdf/P1797370da7c5a0a0be910df3cce257c8c.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099101223183043766/pdf/P17973703f16620f0b0fa04bc87d65dfb8.pdf'"", ""'Disbursement Letter': 'http://documents.worldbank.org/curated/en/099101323082514250/pdf/P179737043644c0de093410f1c6eaa1e716.pdf'"", ""'Grant or Trust Fund Agreement': 'http://documents.worldbank.org/curated/en/099101323082081067/pdf/P1797370c0b9d30d9094640ded1e3040475.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099011624182514585/pdf/P1797371f41dd108b1b0c71c43b4f70f838.pdf'""]","['Public Administration - Agriculture, Fishing & Forestry', 'Irrigation and Drainage']",['2023'],"['Teklu Tesfaye Toli', 'Trandelina Baraku', 'Xueling Li']"
P180266,Infrastructure Development,Rodrigues Airport Project,"This use case example showcases the comprehensive methodology employed for infrastructure development, specifically for airport expansion, on Rodrigues Island. In the context of enhancing transportation and logistical capabilities, the project team undertook the construction of a new airport runway and associated facilities designed in accordance with International Civil Aviation Organization (ICAO) standards. The project featured the construction of a new 2100m long by 45m wide runway, new taxiways, aircraft parking stands, and an apron expansion to accommodate increased aircraft capacity. Moreover, the development included essential support infrastructure such as stormwater drains, airfield ground lighting, control systems, and navigational aids. A significant emphasis was placed on energy efficiency and sustainability, with all new buildings designed to meet Level 1 EDGE Certification standards and fully electrified using renewable energy sources. This holistic approach to infrastructure development not only addressed the immediate needs of expanding the airport's capacity but also incorporated best practices in environmental sustainability and energy efficiency.","Airports of Mauritius Co. Ltd (AML), Airport of Rodrigues Limited (ARL)",Eastern and Southern Africa,Mauritius,"[""'Procedure and Checklist': 'http://documents.worldbank.org/curated/en/099071223151518231/pdf/P1802660e49a750d08c700c8734179f201.pdf'"", ""'Auditing Document': 'http://documents.worldbank.org/curated/en/099072623152581311/pdf/P1802660ffce6e02097f008c8bd3009292.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099082723120531526/pdf/P180266124b0836817f6214bb51a9b81bea0249aaf04.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099082823143070338/pdf/P18026606dbade0340a9f400ddf4e37b9b7.pdf'"", ""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099082823143059151/pdf/P18026606fb7d101a09bef088151d810619.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099082823143064610/pdf/P1802660aef4e00860afec0ea290e1c351e.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099091223121522595/pdf/BOSIB042f9ad630750bffc0dabab61ff0df.pdf'"", ""'Trust Fund Administrative Agreement': 'http://documents.worldbank.org/curated/en/099092923084537506/pdf/P180266022b6810360863001d287a9eeabf.pdf'"", ""'Aide Memoire': 'http://documents.worldbank.org/curated/en/099122223154035113/pdf/P18026618a0d310a1973c11443204bc972.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223154022007/pdf/P180266163c42a0501a2a61159ca443fdf4.pdf'""]","['Fisheries', 'Other Water Supply, Sanitation and Waste Management', 'Tourism', 'Public Administration - Transportation', 'Aviation']","['2023', '2024', '2025', '2026', '2027', '2028', '2029']","['Marc Marie Francois Navelet Noualhier', 'Edward Andrew Beukes', 'Wei Yan']"
P180266,Sustainable Territorial Development,Rodrigues Airport Project,"This use case example illustrates a multifaceted approach to sustainable territorial development focused on Rodrigues Island, aiming to enhance agri-food systems and water resources sustainability. In an effort to bolster local economies and improve food security, the project team provided technical assistance and financial support for key investments in agriculture and fisheries. Methods included enhancing extension services, improving post-harvest efficiency, fostering climate-smart technologies, and strengthening the value chains for local products while encouraging participation from women in these sectors. In terms of water resource management, small-scale infrastructure projects coupled with technical assistance promoted the adoption of Integrated Water Resources Management (IWRMD) practices. The initiatives ranged from protection and rehabilitation of water sources, including desalination plants, to the development of sanitation improvement plans. This progressive endeavor engaged local governments, rural communities, and the private sector, ensuring substantial community involvement and gender consideration in implementing a sustainable development strategy.","Airports of Mauritius Co. Ltd (AML), Airport of Rodrigues Limited (ARL)",Eastern and Southern Africa,Mauritius,"[""'Procedure and Checklist': 'http://documents.worldbank.org/curated/en/099071223151518231/pdf/P1802660e49a750d08c700c8734179f201.pdf'"", ""'Auditing Document': 'http://documents.worldbank.org/curated/en/099072623152581311/pdf/P1802660ffce6e02097f008c8bd3009292.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099082723120531526/pdf/P180266124b0836817f6214bb51a9b81bea0249aaf04.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099082823143070338/pdf/P18026606dbade0340a9f400ddf4e37b9b7.pdf'"", ""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099082823143059151/pdf/P18026606fb7d101a09bef088151d810619.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099082823143064610/pdf/P1802660aef4e00860afec0ea290e1c351e.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099091223121522595/pdf/BOSIB042f9ad630750bffc0dabab61ff0df.pdf'"", ""'Trust Fund Administrative Agreement': 'http://documents.worldbank.org/curated/en/099092923084537506/pdf/P180266022b6810360863001d287a9eeabf.pdf'"", ""'Aide Memoire': 'http://documents.worldbank.org/curated/en/099122223154035113/pdf/P18026618a0d310a1973c11443204bc972.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223154022007/pdf/P180266163c42a0501a2a61159ca443fdf4.pdf'""]","['Fisheries', 'Other Water Supply, Sanitation and Waste Management', 'Tourism', 'Public Administration - Transportation', 'Aviation']","['2023', '2024', '2025', '2026', '2027', '2028', '2029']","['Marc Marie Francois Navelet Noualhier', 'Edward Andrew Beukes', 'Wei Yan']"
P180266,Tourism Sector Development,Rodrigues Airport Project,"This use case depicts a strategic approach to fostering sustainable tourism within Rodrigues Island, encompassing several sub-components aimed at improving the tourism sector through promotion, skill development, and infrastructure enhancement. Initially, the project team conducted a thorough review of the current institutional capacities related to tourism, followed by a comprehensive program to improve strategic alignment, resource management, and service delivery, including the green certification of the island. An emphasis on developing a distinctive brand identity for Rodrigues was pursued through international consultancy, focusing on brand management, marketing strategies, and ensuring local handicrafts align with the new brand. Skill development programs specifically tailored for tourism-related professions were implemented to upgrade service standards and promote green sustainability practices, with particular attention to encouraging women's participation. Further, the project supported small businesses through matching grants for sustainable upgrades and focused on enhancing the tourism infrastructure to enrich the ecological and natural experiences for visitors. This holistic approach aimed at revitalizing Rodrigues' tourism sector while emphasizing environmental sustainability and gender inclusivity.","Airports of Mauritius Co. Ltd (AML), Airport of Rodrigues Limited (ARL)",Eastern and Southern Africa,Mauritius,"[""'Procedure and Checklist': 'http://documents.worldbank.org/curated/en/099071223151518231/pdf/P1802660e49a750d08c700c8734179f201.pdf'"", ""'Auditing Document': 'http://documents.worldbank.org/curated/en/099072623152581311/pdf/P1802660ffce6e02097f008c8bd3009292.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099082723120531526/pdf/P180266124b0836817f6214bb51a9b81bea0249aaf04.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099082823143070338/pdf/P18026606dbade0340a9f400ddf4e37b9b7.pdf'"", ""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099082823143059151/pdf/P18026606fb7d101a09bef088151d810619.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099082823143064610/pdf/P1802660aef4e00860afec0ea290e1c351e.pdf'"", ""'Project Appraisal Document': 'http://documents.worldbank.org/curated/en/099091223121522595/pdf/BOSIB042f9ad630750bffc0dabab61ff0df.pdf'"", ""'Trust Fund Administrative Agreement': 'http://documents.worldbank.org/curated/en/099092923084537506/pdf/P180266022b6810360863001d287a9eeabf.pdf'"", ""'Aide Memoire': 'http://documents.worldbank.org/curated/en/099122223154035113/pdf/P18026618a0d310a1973c11443204bc972.pdf'"", ""'Implementation Status and Results Report': 'http://documents.worldbank.org/curated/en/099122223154022007/pdf/P180266163c42a0501a2a61159ca443fdf4.pdf'""]","['Fisheries', 'Other Water Supply, Sanitation and Waste Management', 'Tourism', 'Public Administration - Transportation', 'Aviation']","['2023', '2024', '2025', '2026', '2027', '2028', '2029']","['Marc Marie Francois Navelet Noualhier', 'Edward Andrew Beukes', 'Wei Yan']"
P181339,Durum Wheat Procurement,Additional Financing to Tunisia Emergency Food Security Response Project,"This use case example highlights the initiative of procuring an approximate quantity of 25,000 metric tons (MT) of durum wheat to ensure continued access to traditional bread and other cereal products affordable for poor and vulnerable households. In the context of the Tunisian Emergency Food Security Response, faced with a consecutive fourth year of drought leading to critical grain shortages, the government found it challenging to secure grain purchases due to the country’s fragile economic condition. The additional financing project, supported by a grant of $11.16 million from USAID, aimed to alleviate the immediate wheat shortage by ensuring the supply of wheat for bread for poor and vulnerable populations. Leveraging processes and procedures from the parent project, this initiative focused on efficient procurement and delivery of wheat from global markets at optimal pricing for Tunisia. This strategy addressed both immediate food security concerns and a model for fast response to similar crises, highlighting a pragmatic approach towards sourcing essential food supplies during acute shortages.",Office des Céréales,Middle East and North Africa,Tunisia,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099071223132017083/pdf/P18133905cca42036090bd00937c492654f.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099071223132010405/pdf/P1813390e4c09f030818007b55a1469933.pdf'"", ""'Stakeholder Engagement Plan': 'http://documents.worldbank.org/curated/en/099071223132038987/pdf/P1813390179bad020bbbb0052173a8e8f9.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099072023083016138/pdf/P1813390443b0a0308d0401d30746fe6e6.pdf'"", ""'Project Paper': 'http://documents.worldbank.org/curated/en/099082223160536735/pdf/P18133905748910d0bd7902978822702c3.pdf'""]","['Other Agriculture, Fishing and Forestry']",['2023'],['Christian Berger']
P181139,Digital Advisory and Monitoring,"Additional Financing to West Africa Food Systems Resilience Program, Phase 1","This use case example showcases the integration of digital advisory services into regional agriculture. In the context of preparing Togo for food crisis prevention and management, the project introduced a new activity aiming to strengthen the country's Food and Nutrition Security (FNS) information and monitoring system. This was complemented by the expansion of existing activities to enhance the Cadre Harmonisé and risk detection mechanisms. The method involved the strengthening of government departments responsible for agricultural statistics, enhancing their capabilities for nationwide surveys, data collection, processing, analysis, and dissemination. Furthermore, risk detection systems were upgraded to ensure timely and effective preparedness for and response to food crises, thereby fortifying the resilience of communities against climate shocks. A distinctive aspect of this approach was the development of a Food Crisis Preparedness and Response Plan aimed at bolstering disaster preparedness at the community level, covering all aspects related to data collection and processing, including field-level surveys linked to the Cadre Harmonisé.","Ministry of Agriculture - Niger, Ministry of Agriculture, Hydro-Agricultural Developments and Mechanization  - Burkina Faso, Ministry of Rural Development - Mali, Ministry of Agriculture, Livestock and Rural Development - Togo",Western and Central Africa,Western and Central Africa,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099071723120011453/pdf/P18113901889070520a3150583a67023157.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099071123185032795/pdf/P1811390d3d36e0508ba40ba61471fc83a.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099071723115524734/pdf/P18113908c7c400208c8a0667074738849.pdf'""]","['Agricultural markets, commercialization and agri-business', 'Agricultural Extension, Research, and Other Support Activities', 'Crops', 'Livestock', 'Public Administration - Agriculture, Fishing & Forestry']",['2023'],"['Katie Kennedy Freeman', 'Erick Herman Abiassi']"
P181139,Sustainability and Adaptive Capacity Enhancement,"Additional Financing to West Africa Food Systems Resilience Program, Phase 1","This use case example highlights the efforts to enhance the sustainability and adaptive capacity of the food system's productive base. The project scaled up interventions from the parent project, focusing more intensively on improving nutrition outcomes. Activities within this component involved consolidating the regional agricultural innovation system by investing in equipment and knowledge pertinent to vegetable farming, and in educating the local populace about adopting climate-smart practices and nutrition. Specifically, it targeted youth and women to increase their participation and benefits from these initiatives. Another significant undertaking was the promotion of integrated landscape management to facilitate producers’ access to high-quality inputs, emphasizing crops with high nutritional value. Special consideration was given to women to bridge the gap in access to quality inputs. The project also introduced new activities supporting households in acquiring improved breeds, bolstering animal health, and enhancing the production and use of organic fertilizers and biopesticides. Such measures were aimed at fostering a more sustainable food production system that is resilient to climate variations.","Ministry of Agriculture - Niger, Ministry of Agriculture, Hydro-Agricultural Developments and Mechanization  - Burkina Faso, Ministry of Rural Development - Mali, Ministry of Agriculture, Livestock and Rural Development - Togo",Western and Central Africa,Western and Central Africa,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099071723120011453/pdf/P18113901889070520a3150583a67023157.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099071123185032795/pdf/P1811390d3d36e0508ba40ba61471fc83a.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099071723115524734/pdf/P18113908c7c400208c8a0667074738849.pdf'""]","['Agricultural markets, commercialization and agri-business', 'Agricultural Extension, Research, and Other Support Activities', 'Crops', 'Livestock', 'Public Administration - Agriculture, Fishing & Forestry']",['2023'],"['Katie Kennedy Freeman', 'Erick Herman Abiassi']"
P181139,Food Market Integration and Value Chain Development,"Additional Financing to West Africa Food Systems Resilience Program, Phase 1","This use case example emphasizes the importance of integrating regional food markets and developing strategic value chains for enhancing food security. The project built upon activities from the parent initiative by disseminating market information and investing in market infrastructure. An innovative strategy was to extend the project’s reach beyond the originally targeted value chains (poultry, rice, and soybeans) to include vegetables, cowpeas, and roots and tubers, which are crucial for local nutrition and livelihoods. The activities aimed to facilitate trade across key corridors and consolidate the food reserve system. This involved scaling up support for the dissemination of market information to help farmers access local, regional, and international markets, and establishing productive alliances between producers and aggregators for better commercialization of agricultural products. Additionally, the project aimed to enhance storage infrastructure and adopt post-harvest processing technologies through matching grants. The focus on promoting standards for quality and packaging aimed to meet market demands, benefiting small and medium-sized enterprises (SMEs), women and youth-led producer groups, and cooperatives within the targeted value chains.","Ministry of Agriculture - Niger, Ministry of Agriculture, Hydro-Agricultural Developments and Mechanization  - Burkina Faso, Ministry of Rural Development - Mali, Ministry of Agriculture, Livestock and Rural Development - Togo",Western and Central Africa,Western and Central Africa,"[""'Environmental and Social Review Summary': 'http://documents.worldbank.org/curated/en/099071723120011453/pdf/P18113901889070520a3150583a67023157.pdf'"", ""'Project Information Document': 'http://documents.worldbank.org/curated/en/099071123185032795/pdf/P1811390d3d36e0508ba40ba61471fc83a.pdf'"", ""'Environmental and Social Commitment Plan': 'http://documents.worldbank.org/curated/en/099071723115524734/pdf/P18113908c7c400208c8a0667074738849.pdf'""]","['Agricultural markets, commercialization and agri-business', 'Agricultural Extension, Research, and Other Support Activities', 'Crops', 'Livestock', 'Public Administration - Agriculture, Fishing & Forestry']",['2023'],"['Katie Kennedy Freeman', 'Erick Herman Abiassi']"
