name,description,dataset_id,project_id,files
World - World Food Security Outlook,"Key components of the WFSO database cover severe food insecurity prevalence, estimates for countries lacking official data, population sizes of the severely food insecure, and required safety net financing. Data is presented in a user-friendly format.<br><br>WFSO data primarily relies on hunger and malnutrition data from the State of Food Security and Nutrition in the World (SOFI) report, led by the Food and agriculture Organization (FAO) in collaboration with multiple UN agencies. WFSO complements SOFI data by providing estimates for unreported countries. Historical estimates are produced with a World Bank machine learning model leveraging World Development Indicators (WDI) for global coverage. <br><br>Financing needs for safety nets are calculated similarly to past approaches by the International Development Association (IDA) to assess food insecurity response needs. Preliminary estimates and projections rely on the same model and incorporate IMF's World Economic Outlook (WEO) growth and inflation forecasts. WEO data reflects the IMF's expert analysis from various sources, including government agencies, central banks, and international organizations. <br><br>Minor gaps in WDI data inflation data are replaced with unofficial WEO estimates. Minor inflation data gaps not covered by both, are replaced with unofficial inflation estimates from the World Bank's Real-Time Food Prices (RTFP) data.<br><br>The WFSO is updated three times a year, coinciding with IMF's WEO and SOFI releases. It provides food security projections that align with economic forecasts, aiding policymakers in integrating food security into economic planning.<br><br>The WFSO database serves various purposes, aiding World Bank economists and researchers in economic analysis, policy recommendations, and the assessment of global financing needs to address food insecurity.<br><br>Additionally, the WFSO enhances transparency in global food security data by tracking regional and global figures and breaking them down by individual countries. Historical estimates support research and long-term trend assessments, especially in the context of relating outlooks to past food security crises.",0065233,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Tanzania - Demographic and Health Survey and Malaria Indicator Survey 2022,"The primary objective of the 2022 Tanzania Demographic and Health Survey and Malaria Indicator Survey (2022 TDHSMIS) is to provide current and reliable information on population and health issues. Specifically, the 2022 TDHS-MIS collected information on marriage and sexual activity, fertility and fertility preferences, family planning, infant and child mortality, maternal health care, disability among the household population, child health, nutrition of children and women, malaria prevalence, knowledge, and communication, women’s empowerment, women’s experience of domestic violence, adult maternal mortality via sisterhood method, awareness and behaviour regarding HIV/AIDS and other sexually transmitted infections (STIs), female genital cutting, and early childhood development. Other information collected on health-related issues included smoking, blood pressure, anaemia, malaria, and iodine testing, height and weight, and micronutrients.<br><br>The information collected through the 2022 TDHS-MIS is intended to assist policymakers and programme managers in evaluating and designing programmes and strategies for improving the health of Tanzania’s population. The 2022 TDHS-MIS also provides indicators to monitor and evaluate international, regional, and national programmes, such as the Global Agenda 2030 on Sustainable Development Goals (2030 SDGs), Tanzania Development Vision 2025, the Third National Five-Year Development Plan (FYDP III 2021/22–2025/26), East Africa Community Vision 2050 (EAC 2050), and Africa Development Agenda 2063 (ADA 2063).",0065150,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Mozambique - Impact Evaluation of the Sustainable Land and Water Resource Management Project 2016-2019,"The main objective of this activity is to shed light on the transformative potential of smallholder irrigation in Mozambique. Irrigation is critical in ensuring sustainable livelihoods for farmers in the face of increasing climate uncertainty. Irrigation access allows farmers to cultivate crops outside of the main rainy season, potentially doubling farm incomes by allowing for the cultivation of two crop cycles instead of one. However, it is grossly underutilized in Sub-Saharan Africa, particularly in Mozambique where only 8 percent of all farmers have access to irrigation. Despite the transformative potential of irrigation, there are gaps in our understanding of how-to best plan and manage irrigation infrastructure programs. First, because irrigation infrastructure is never placed at random, the true impact of these investments on farmers’ welfare is not well known. Second, irrigation equipment is often not well managed and degrades easily over time from lack of maintenance. This impact evaluation proposes a novel strategy for simultaneously measuring a rigorous estimate of the returns to irrigation investments, as well as providing insight on how to choose participants of an irrigation infrastructure program such that the impact and sustainability of the irrigation infrastructure is maximized.",0065012,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Portugal - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064983,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Romania - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064982,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Portugal - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064981,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Poland - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064980,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Zambia - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through Kantar. General information on the methodology can be found here: https://www.kantar.com/about. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab.",0064973,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Uzbekistan - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064972,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Ukraine - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064971,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Sweden - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064969,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Slovenia - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064968,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Slovak Republic - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064967,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Singapore - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064966,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Serbia - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064965,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Pakistan - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064964,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Norway - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064963,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
New Zealand - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064962,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
Netherlands - Food Insecurity Experience Scale 2022,"Sustainable Development Goal (SDG) target 2.1 commits countries to end hunger, ensure access by all people to safe, nutritious and sufficient food all year around. Indicator 2.1.2, “Prevalence of moderate or severe food insecurity based on the Food Insecurity Experience Scale (FIES)”, provides internationally-comparable estimates of the proportion of the population facing difficulties in accessing food. More detailed background information is available at http://www.fao.org/in-action/voices-of-the-hungry/fies/en/ .<br><br>The FIES-based indicators are compiled using the FIES survey module, containing 8 questions. Two indicators can be computed:  <br>1. The proportion of the population experiencing moderate or severe food insecurity (SDG indicator 2.1.2), <br>2. The proportion of the population experiencing severe food insecurity. <br><br>These data were collected by FAO through the Gallup World Poll. General information on the methodology can be found here: https://www.gallup.com/178667/gallup-world-poll-work.aspx. National institutions can also collect FIES data by including the FIES survey module in nationally representative surveys.<br><br>Microdata can be used to calculate the indicator 2.1.2 at national level. Instructions for computing this indicator are described in the methodological document available in the documentations tab. Disaggregating results at sub-national level is not encouraged because estimates will suffer from substantial sampling and measurement error.",0064960,,"[{""name"": ""Visit the Microdata Library to access data and documentation."", ""description"": null, ""url"": null}]"
